skill,count
r,1717
excel,901
sql,899
python,770
aws,476
machine learning,406
statistics,320
spark,285
azure,273
etl,235
tableau,222
power bi,172
snowflake,155
hadoop,117
gcp,90
deep learning,87
kafka,78
pandas,45
numpy,33
